,类别,标题,经度,纬度
1491,四星店铺,郑州贵筠园啤酒鸭,113.6571527,34.74031791
1496,三星半店铺,郑州小小河边鱼(长江路店),113.6425293,34.71525898
1497,三星半店铺,郑州农夫鱼庄·半自助烤鱼(行云路店),113.6471849,34.7453259
1500,四星半店铺,郑州小V家秘制火锅鸡(郑州总店),113.6567841,34.71342278
1501,四星店铺,郑州汕锦记潮汕牛肉火锅(京广路店),113.6597602,34.75640499
1507,四星半店铺,郑州蜀齐天火锅(庆丰街店),113.6587861,34.73721395
1509,四星半店铺,郑州秋波里爆蛋豆腐虾(鑫苑鑫都汇店),113.657602,34.74202499
1512,三星半店铺,郑州马四涮锅(兴华街店),113.6393829,34.75334602
1520,三星半店铺,郑州顶呱呱牛蛙煲(淮河东路店),113.6577092,34.73504382
1521,三星半店铺,郑州犇羴鱻涮锅,113.6307404,34.73320228
1523,三星半店铺,郑州回李家烩羊肉(锦绣山河店),113.627964,34.68939396
1528,三星半店铺,郑州川味茶火锅,113.6314192,34.75343885
1529,三星半店铺,郑州锅圈食汇火锅烧烤食材超市(郑航街店),113.6564877,34.7120059
1535,三星半店铺,郑州六位先生主题串串,113.6590118,34.74195128
1538,三星半店铺,郑州中国重庆老版火锅,113.6629408,34.71769524
1541,三星店铺,郑州醉重庆老火锅(京广路店),113.6597602,34.75640499
1542,四星店铺,郑州小龙坎火锅(政通路店),113.6341558,34.73310816
1545,三星半店铺,郑州清真回族·正宗潮汕牛肉丸火锅总店(勤劳路店),113.645984,34.73799297
1549,三星半店铺,郑州王婆大虾(行云路店),113.6571513,34.71385971
1555,三星半店铺,郑州鑫记五一涮锅,113.634778,34.717733
1556,三星半店铺,郑州齐祺渔锅(京广路店),113.6597602,34.75640499
1562,四星半店铺,郑州潮辣矿泉水火锅(嵩山南路店),113.649851,34.72130502
1564,三星半店铺,郑州小小涮肉坊火锅(工人路店),113.6233939,34.71268141
1566,三星半店铺,郑州铁锅岁月,113.6314192,34.75343885
1567,三星半店铺,郑州明记醉重庆老火锅,113.6632726,34.72306524
1571,三星半店铺,郑州锅圈食汇火锅烧烤食材超市(祥云路店),113.6613314,34.73095471
1575,三星店铺,郑州壹壹铜锅涮,113.6515651,34.68610987
1577,三星半店铺,郑州伊香园杜记红焖羊肉,113.6579589,34.74037627
1580,三星半店铺,郑州老北京铜火锅(兴华南街店),113.6479597,34.74504033
1581,三星半店铺,郑州成都小郡肝串串香(兴华南街店),113.6394513,34.72261864
1585,三星半店铺,郑州上上签养生小火锅,113.6494359,34.76108712
1586,三星店铺,郑州小同桌火锅,113.6314192,34.75343885
1590,三星半店铺,郑州忆口香油焖大虾,113.6277592,34.72551276
1593,三星半店铺,郑州王婆大虾(锦绣山河店),113.633374,34.68986196
1597,三星半店铺,郑州老北京旋转小火锅(鑫苑鑫家店),113.6476003,34.66668323
1598,三星半店铺,郑州老碗鱼,113.6314192,34.75343885
1604,三星半店铺,郑州锅圈食汇火锅烧烤食材超市(碧云路店),113.6613314,34.73095471
1606,三星半店铺,郑州穆萨涮锅(漓江路店),113.6516045,34.70078125
1609,三星半店铺,郑州帖老大涮锅,113.6558205,34.75104184
1614,三星半店铺,郑州武记碳锅鱼碳锅鸡,113.660897,34.75668198
1617,三星半店铺,郑州顶鲜大锅台(行云路店),113.6560062,34.70987593
1621,三星店铺,郑州小明家秘制火锅鸡(总店),113.6567841,34.71342278
1622,三星半店铺,郑州黑胖子碳锅鱼烧烤(建云街分店),113.657531,34.73755795
1628,三星半店铺,郑州锅圈食汇火锅烧烤食材超市(中原东路店),113.6476486,34.75395788
1635,三星半店铺,郑州傅火火时尚回转小火锅,113.6679997,34.71646603
1638,三星半店铺,郑州老北京地锅肉,113.626922,34.69050894
1639,三星半店铺,郑州正宗四川串串香,113.6474936,34.74204123
1642,三星半店铺,郑州刘金东串串香,113.6574354,34.74759331
1646,三星半店铺,郑州桃花渔季,113.6314192,34.75343885
1647,三星店铺,郑州成都串串香(大学路店),113.6506233,34.7450066
1648,三星店铺,郑州天天旺自助火锅城(郑州总店),113.6652524,34.68454099
1651,三星店铺,郑州片片鱼,113.6314192,34.75343885
1652,三星半店铺,郑州潮汕鼎记生鲜牛肉火锅(郑航街店),113.6521172,34.71283719
1659,三星店铺,郑州欢辣多特色火锅,113.6314192,34.75343885
1668,三星半店铺,郑州巧阿婆香辣过江鱼,113.6314192,34.75343885
1669,三星店铺,郑州苏记鲜牛羊肉店(高砦老店),113.6591819,34.71673322
1673,三星半店铺,郑州郑享吃烧烤涮羊肉(嵩山南路店),113.6428148,34.71854168
1674,三星半店铺,郑州蜀齐天?经典原味火锅(兴华南街店),113.6392421,34.71616341
1677,三星半店铺,郑州香天下火锅城,113.519733,34.71390963
1680,三星半店铺,郑州群香园秘制大骨头(郑航街店),113.6553057,34.71226984
1685,四星店铺,郑州壹小串28元自助火锅,113.6314192,34.75343885
1693,三星半店铺,郑州老四串串香(淮河路店),113.6285274,34.74874783
1694,三星店铺,郑州筷乐连连重庆串串香,113.6274432,34.72466232
1697,三星半店铺,郑州起点旋转小火锅,113.6475331,34.74514126
1705,三星半店铺,郑州泽满客稻草虾(郑州店),113.6513752,34.74833704
1710,三星半店铺,郑州巴餮重庆火锅(京广路店),113.6597602,34.75640499
1711,三星半店铺,郑州鈉吉涮锅炙子烤肉,113.6314441,34.72760457
1715,三星半店铺,郑州赢与政豆花鱼烤鱼(鑫苑鑫都汇店),113.6575992,34.74226637
1716,三星半店铺,郑州巴灿香辣鱼,113.6314192,34.75343885
1720,三星半店铺,郑州重庆红满家自助火锅,113.6314192,34.75343885
1723,三星半店铺,郑州吾饭铜锅炖羊肉,113.6314192,34.75343885
1725,三星半店铺,郑州闯关东牛排牛尾炖品坊,113.6314192,34.75343885
1742,四星半店铺,郑州丸子很忙重庆小火锅(兴华南街店),113.6385192,34.73670199
1746,三星半店铺,郑州大宋汴京火锅(兴华南街店),113.6392421,34.71616341
1749,三星半店铺,郑州吾蜀巷子重庆小火锅(橄榄城店),113.6385192,34.73670199
1752,三星半店铺,郑州開冒冒鱼冒牛肉,113.6314192,34.75343885
1754,三星半店铺,郑州阿建渔锅,113.6314192,34.75343885
1755,三星半店铺,郑州北59号牛杂煲(兴华南街店),113.63903,34.72230704
1759,四星店铺,郑州簋谷火锅(经开中心广场店),113.6314192,34.75343885
1783,三星半店铺,郑州潮汕记生鲜牛肉火锅(富田太阳城店),113.6228623,34.72640674
1786,三星半店铺,郑州云南蒸汽石锅鱼(富田太阳城店),113.6228623,34.72640674
1793,三星半店铺,郑州米福龙卤味火锅,113.6314192,34.75343885
1805,三星半店铺,郑州特色羊架子·卤味,113.6314192,34.75343885
1814,三星半店铺,郑州豫缘虾道(盛华里店),113.6314192,34.75343885
1830,三星店铺,郑州赤煲鲜椒鸡(盛华里店),113.6314192,34.75343885
1839,三星半店铺,郑州黑胖子碳锅鱼烧烤,113.657531,34.73755795
1917,三星半店铺,郑州丁洋洋自助回旋火锅,113.6314192,34.75343885
1932,三星半店铺,郑州固始老鹅煲,113.6522197,34.71021889
1936,三星店铺,郑州点克锅小鲜,113.6314192,34.75343885
1948,三星店铺,郑州樊老七乡村地锅柴鸡(紫辰路分店),113.6248936,34.69788588
1951,三星半店铺,郑州衡水石锅鸡,113.6314192,34.75343885
1952,三星半店铺,郑州天红轩海鲜火锅,113.6314192,34.75343885
1965,三星半店铺,郑州银纸鱼情·火锅超市&重庆小面,113.6314192,34.75343885
1971,三星半店铺,郑州签年时光串串火锅,113.6477345,34.73143219
1975,三星店铺,郑州贤合庄卤味火锅(汇美茂店),113.6314192,34.75343885
1978,三星半店铺,郑州蔡记涮串王,113.6314192,34.75343885
1987,三星半店铺,郑州好味轩火锅,113.6314192,34.75343885
1988,三星半店铺,郑州王厨子火锅鱼,113.6314192,34.75343885
1994,三星店铺,郑州缘来是你,113.6314192,34.75343885
1998,四星店铺,郑州火鳳祥鮮貨火锅商行(郑州首店),113.6314192,34.75343885
2006,三星半店铺,郑州清真羊咩咩,113.6314192,34.75343885
2016,三星半店铺,郑州清真上鲜配虾火锅,113.6314192,34.75343885
2020,三星半店铺,郑州鱼虾畅碗河鲜火锅,113.6314192,34.75343885
2023,三星店铺,郑州广东大盛猪肚鸡·王婆大虾(惠济万达店),113.6490784,34.72427091
2031,三星半店铺,郑州椰风海韵养生火锅,113.6314192,34.75343885
2040,三星半店铺,郑州逛呲涮吧农民火锅(裕华广场店),113.6268483,34.74817539
2041,三星半店铺,郑州满院香驴肉,113.6314192,34.75343885
2053,三星半店铺,郑州蜀好签小郡肝串串火锅(美景万科店),113.6490965,34.72391096
2071,三星半店铺,郑州喜虾客(美景万科店),113.6490965,34.72391096
2100,三星半店铺,郑州涮货,113.6314192,34.75343885
2118,三星半店铺,郑州小伟家秘制火锅鸡(北环宜家家居店),113.6341466,34.71888245
2125,三星半店铺,郑州桃园火锅,113.6314192,34.75343885
2130,三星半店铺,郑州阿田大虾,113.6314192,34.75343885
2140,三星店铺,郑州成都时光串串火锅(美景万科旗舰店),113.6490965,34.72391096
