,类别,评分口味,评分环境,评分服务,人均/元,性价比
125,三星店铺,3.82,3.85,3.91,79.0,0.14658227848101266
126,四星店铺,4.32,4.41,4.08,96.0,0.13343750000000001
127,三星半店铺,3.93,3.65,3.77,79.0,0.14367088607594936
128,三星半店铺,3.87,3.84,3.83,45.0,0.2564444444444444
129,三星半店铺,3.86,3.77,3.73,86.0,0.13209302325581396
130,三星半店铺,4.05,3.9,3.74,73.0,0.16013698630136985
131,四星半店铺,4.53,4.42,4.34,78.0,0.17038461538461538
132,三星半店铺,3.7,3.69,3.69,52.0,0.21307692307692308
133,三星店铺,3.43,3.41,3.32,94.0,0.10808510638297872
134,三星半店铺,3.64,3.6,3.6,30.0,0.36133333333333334
135,三星半店铺,3.73,3.73,3.81,24.0,0.4695833333333333
136,三星半店铺,3.7,3.73,3.69,47.0,0.23659574468085104
137,三星半店铺,3.6,3.6,3.6,38.0,0.28421052631578947
138,三星半店铺,3.55,3.52,3.55,20.0,0.531
139,三星半店铺,3.76,3.8,3.7,74.0,0.15216216216216216
140,三星半店铺,3.98,3.91,3.85,87.0,0.1349425287356322
141,四星店铺,4.03,4.06,4.12,20.0,0.6105
142,三星半店铺,3.65,3.47,3.58,28.0,0.3821428571428571
143,四星半店铺,4.6,4.61,4.59,45.0,0.3066666666666667
144,三星半店铺,3.86,3.97,3.97,42.0,0.28095238095238095
145,四星店铺,4.3,4.43,4.34,88.0,0.14852272727272728
146,三星半店铺,3.88,3.76,3.84,76.0,0.15105263157894738
147,三星半店铺,3.92,3.97,3.95,55.0,0.21527272727272728
148,三星半店铺,3.82,3.81,3.81,59.0,0.19389830508474576
149,三星店铺,2.97,3.42,3.48,48.0,0.20562500000000003
150,三星半店铺,3.77,3.67,3.65,50.0,0.2218
151,三星店铺,3.67,3.65,3.66,72.0,0.1525
152,三星半店铺,3.78,3.85,3.91,52.0,0.22192307692307692
153,四星店铺,4.58,4.61,4.61,109.0,0.12660550458715597
154,三星半店铺,3.52,3.52,3.54,50.0,0.2116
155,三星半店铺,4.09,4.24,4.02,62.0,0.19919354838709677
156,三星半店铺,3.8,3.84,3.73,50.0,0.2274
157,三星半店铺,3.95,3.67,3.89,42.0,0.27404761904761904
158,三星店铺,3.0,3.0,3.0,50.0,0.18
159,三星店铺,3.0,3.0,3.0,50.0,0.18
160,三星店铺,3.0,3.0,3.0,50.0,0.18
161,三星店铺,3.0,3.0,3.0,50.0,0.18
162,三星店铺,3.0,3.0,3.0,50.0,0.18
163,三星店铺,3.0,3.0,3.0,50.0,0.18
164,三星店铺,3.0,3.0,3.0,50.0,0.18
165,三星半店铺,3.5,3.51,3.51,65.22958335876464,0.16127651685493202
166,三星半店铺,3.99,3.99,3.99,65.50483474731445,0.18273460342544784
167,三星店铺,3.43,3.44,3.44,65.19134178161622,0.1581498358253978
168,三星半店铺,3.52,3.52,3.53,65.23853073120117,0.16202081624969464
169,三星半店铺,3.51,3.51,3.51,65.23113098144532,0.16142599157134355
170,三星半店铺,3.93,3.93,3.95,65.47451438903809,0.1803755264197463
171,三星店铺,3.43,3.48,3.41,65.19699478149414,0.15828950451761134
172,三星半店铺,3.82,3.51,3.77,65.33390655517579,0.16989646854540724
173,三星半店铺,3.61,3.56,3.56,65.26663780212402,0.16440252418902457
174,三星半店铺,3.51,3.47,3.51,65.22234649658203,0.16083444652746015
175,三星半店铺,3.89,3.72,3.84,65.40283660888672,0.17506885929843924
176,三星半店铺,3.71,3.72,3.71,65.34631652832032,0.170476326621594
177,三星半店铺,3.53,3.51,3.58,65.2484073638916,0.16276259343422833
178,三星半店铺,3.73,3.63,3.39,65.29506721496583,0.1646372453313911
179,三星半店铺,3.51,3.52,3.52,65.23515167236329,0.16172262544871924
180,三星店铺,3.45,3.46,3.5,65.20912399291993,0.15964023686517034
181,三星半店铺,3.52,3.53,3.52,65.23888282775879,0.1620199418176199
182,三星半店铺,3.92,3.88,3.92,65.45643615722656,0.1790503835535519
183,三星半店铺,3.73,3.73,3.73,65.35561676025391,0.17121711269359804
184,三星店铺,3.46,3.49,3.45,65.209183883667,0.1594867376128119
185,三星半店铺,3.7,3.74,3.65,65.33660697937012,0.16973639300708776
186,三星店铺,3.45,3.51,3.56,65.2322898864746,0.1612698253933477
187,三星店铺,3.35,3.32,3.31,65.13443183898926,0.15322157142124643
188,三星半店铺,3.72,3.68,3.71,65.33958320617675,0.17003475465925127
189,三星半店铺,3.59,3.59,3.59,65.27603912353516,0.16499162854562505
190,三星店铺,3.47,3.48,3.48,65.21291236877441,0.1599376507066436
191,三星半店铺,3.6,3.61,3.61,65.28590965270996,0.16573254562212983
192,三星店铺,3.42,3.43,3.43,65.18619728088379,0.1577020968979681
193,三星半店铺,3.9,3.97,4.01,65.49114189147949,0.1813985778364571
194,三星半店铺,3.6,3.61,3.69,65.30289611816406,0.16691449610866732
195,三星半店铺,3.67,3.67,3.66,65.31938934326172,0.16840328898657636
196,三星半店铺,3.56,3.57,3.56,65.26115188598632,0.1638034219603698
197,三星半店铺,3.51,3.51,3.51,65.23113098144532,0.16142599157134355
198,四星店铺,4.31,4.27,4.33,65.68752174377441,0.1965365667220282
199,三星店铺,3.49,3.49,3.49,65.21993980407714,0.1605337268242232
200,三星店铺,3.4,3.28,3.28,65.12994804382325,0.15292504138492982
201,三星半店铺,3.56,3.52,3.52,65.24286079406738,0.162469883616199
202,三星半店铺,3.78,3.75,3.74,65.36943130493164,0.17240474293601146
203,三星半店铺,3.61,3.62,3.62,65.29159355163574,0.1661775951511935
204,三星半店铺,3.63,3.55,3.56,65.26773223876953,0.16455298248619643
205,三星半店铺,3.6,3.61,3.6,65.28379096984864,0.16558474683237384
206,三星半店铺,3.54,3.54,3.54,65.24783287048339,0.1627640265245383
207,四星店铺,4.27,4.19,4.06,65.60610504150391,0.1908358984591383
208,四星半店铺,4.57,4.56,4.57,65.83815956115723,0.2080860110810667
209,三星半店铺,3.96,3.93,3.93,65.4750762939453,0.18052670831470316
210,三星半店铺,3.93,3.94,3.93,65.47222328186035,0.18022910187730395
211,三星半店铺,3.54,3.54,3.54,65.24783287048339,0.1627640265245383
212,三星半店铺,3.59,3.61,3.6,65.28229331970215,0.16543536464183262
213,三星店铺,3.47,3.48,3.48,65.21291236877441,0.1599376507066436
214,三星半店铺,3.65,3.66,3.64,65.31009025573731,0.16766168837192924
215,三星半店铺,3.51,3.52,3.52,65.23515167236329,0.16172262544871924
216,三星半店铺,3.58,3.58,3.58,65.27035751342774,0.1645463639109149
