,level_0,类别,评分口味,评分环境,评分服务,人均/元,性价比
243,81,三星半店铺,3.83,3.85,3.8,63.64516258239746,0.18037505969346143
244,82,三星半店铺,3.81,3.82,3.85,63.64894065856934,0.18036435298400205
245,83,三星半店铺,3.81,3.77,3.86,63.62118797302246,0.17981430973673343
246,84,三星半店铺,3.73,3.81,3.78,63.55896186828613,0.17810234256907073
247,85,三星半店铺,3.61,3.65,3.62,63.28992385864258,0.17190730114165362
248,86,三星店铺,3.72,3.57,3.43,63.17607421875,0.16968449104452926
249,87,三星半店铺,3.77,3.72,3.75,63.49535980224609,0.17702080963091724
250,88,三星半店铺,3.57,3.56,3.56,63.17257575988769,0.16921899845641192
251,89,三星半店铺,3.56,3.55,3.56,63.16195068359375,0.16893081807195548
252,90,三星半店铺,3.55,3.56,3.55,63.1568302154541,0.16878617821119785
253,91,三星半店铺,3.55,3.55,3.54,63.14406509399414,0.16850356378167375
254,92,三星半店铺,3.85,3.54,3.72,63.400576782226565,0.17523499885752664
255,93,三星半店铺,3.52,3.48,3.5,63.06730270385742,0.16648880719228512
256,94,三星半店铺,3.52,3.52,3.52,63.100680923461915,0.16735160136875182
257,95,三星半店铺,3.51,3.52,3.52,63.09709281921387,0.16720263214389158
258,96,三星半店铺,3.56,3.56,3.56,63.168038558959964,0.16907284512295678
259,97,三星半店铺,3.51,3.54,3.54,63.121435546875,0.16777184974089657
260,98,三星店铺,3.46,3.47,3.46,63.011968994140624,0.16488930858463016
261,99,三星半店铺,3.51,3.51,3.51,63.08499641418457,0.16691766027638774
262,100,三星半店铺,3.51,3.52,3.51,63.08999061584473,0.1670629508280975
263,101,三星店铺,3.48,3.48,3.48,63.03826789855957,0.16561368749534686
264,102,三星半店铺,3.51,3.5,3.51,63.0802677154541,0.16677164477890594
265,103,三星店铺,3.43,3.47,3.47,63.00819625854492,0.16458176262415483
266,104,三星店铺,3.51,3.51,3.51,63.08499641418457,0.16691766027638774
267,105,三星半店铺,3.53,3.53,3.53,63.11703796386719,0.16778353898772136
268,106,三星店铺,3.44,3.36,3.58,63.04657745361328,0.16464018221507926
269,107,三星店铺,3.51,3.51,3.51,63.08499641418457,0.16691766027638774
270,108,三星半店铺,3.72,3.73,3.69,63.439843368530276,0.1755994247225091
271,109,三星半店铺,3.52,3.53,3.53,63.11300430297852,0.16763581637169336
272,110,三星半店铺,3.53,3.53,3.53,63.11703796386719,0.16778353898772136
273,111,三星半店铺,3.63,3.64,3.63,63.2978328704834,0.17220178805020053
274,112,三星半店铺,3.84,3.75,3.8,63.580426406860354,0.17914318358159068
275,113,三星半店铺,3.93,3.81,3.96,63.7713623046875,0.18346793258233396
276,114,三星半店铺,3.89,3.77,3.8,63.6161548614502,0.18014292163615936
277,115,三星半店铺,3.7,3.64,3.64,63.33665733337402,0.17335932242534535
278,116,三星半店铺,3.7,3.76,3.76,63.49808692932129,0.17669823679079974
279,117,三星半店铺,3.59,3.58,3.57,63.20068435668945,0.16993486873316158
280,118,三星半店铺,3.7,3.59,3.68,63.33310546875,0.17321114950557492
281,119,三星半店铺,3.5,3.5,3.5,63.069404983520506,0.16648325765469899
282,120,三星半店铺,3.52,3.53,3.52,63.1063045501709,0.1674951508465627
283,121,三星半店铺,3.86,3.83,3.85,63.67796936035156,0.18122437188119983
